174.254.208.247 - yipit [24/Mar/2012:06:41:09 +0000]  "GET /v1/deals?key=s5ynGuEDzz7msDkP&division=fresno&tag=massage%2Cfacial%2Cmanicure-pedicure%2Ctanning%2Chair-salon%2Chair-removal%2Cspa%2Cteeth-whitening%2Ceye-vision%2Cmakeup%2Cdental%2Cchiropractic%2Cdermatology&limit=20&offset=20 HTTP/1.1" 200 255 "-" "Yipit/2.4 CFNetwork/485.12.30 Darwin/10.4.0" 0.131 0.131 .
183.82.97.2 - - [24/Mar/2012:06:41:09 +0000]  "GET /ajax/done_calculating/ HTTP/1.1" 200 55 "http://yipit.com/nation/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.79 Safari/535.11" 0.033 0.033 .
50.57.147.166 - - [24/Mar/2012:06:41:09 +0000]  "HEAD /aff/click/?deal=XwPtgAKP&key=FaUfF9Pn HTTP/1.1" 302 0 "-" "-" 0.047 0.047 .
50.57.147.166 - - [24/Mar/2012:06:41:09 +0000]  "HEAD /aff/click/?deal=XwPtgAKP&key=F38tgRdb HTTP/1.1" 302 0 "-" "-" 0.045 0.045 .
91.217.58.50 - - [24/Mar/2012:06:41:09 +0000]  "GET /ajax/done_calculating/ HTTP/1.1" 200 55 "http://yipit.com/nation/categories/home/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.83 Safari/535.11" 0.026 0.026 .
63.223.110.52 - - [24/Mar/2012:06:41:10 +0000]  "GET /north-jersey/ HTTP/1.1" 200 9637 "http://yipit.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.3; .NET4.0E; .NET CLR 1.1.4322)" 0.520 0.520 .
173.255.213.127 - - [24/Mar/2012:06:41:10 +0000]  "GET /detroit/google-offers/1250-for-25-toward-fresh-seafood-steaks-burgers-more/ HTTP/1.1" 200 43128 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.1) Gecko/2006120418 Firefox/2.0.0.1" 1.038 1.038 .
66.249.71.194 - - [24/Mar/2012:06:41:11 +0000]  "GET /chicago/groupon/italian-comfort-fare-for-groups-of-two-or-four-at-cuzzins-cafe-in-des-plaines-half-off/ HTTP/1.1" 200 8588 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 1.276 1.276 .
23.21.193.77 - - [24/Mar/2012:06:41:11 +0000]  "GET /las-vegas/ HTTP/1.1" 200 35301 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 0.791 0.791 .
50.28.26.55 - - [24/Mar/2012:06:41:11 +0000]  "GET /v1/deals/?key=P5xxUChcwZuDvA7L&radius=50&lat=41.362676&lon=-86.448980 HTTP/1.1" 200 12054 "-" "-" 0.313 0.313 .
91.217.58.50 - - [24/Mar/2012:06:41:11 +0000]  "GET /ajax/done_calculating/ HTTP/1.1" 200 55 "http://yipit.com/nation/categories/home/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.83 Safari/535.11" 0.030 0.030 .
76.93.55.253 - - [24/Mar/2012:06:41:11 +0000]  "GET /emailer/logo/39516d837b824e218f051977d2461771/ HTTP/1.1" 200 4364 "http://sn125w.snt125.mail.live.com/mail/InboxLight.aspx?n=1876424207" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3" 0.136 0.136 .
63.131.50.135 - - [24/Mar/2012:06:41:11 +0000]  "POST /tags/ HTTP/1.1" 302 0 "http://yipit.com/tags/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.79 Safari/535.11" 0.185 0.185 .
184.146.5.166 - - [24/Mar/2012:06:41:11 +0000]  "GET /business/edible-excursions/ HTTP/1.1" 200 10521 "http://www.google.ca/url?sa=t&rct=j&q=berkeley%20gourmet%20ghetto%20excursion%20discount&source=web&cd=8&ved=0CGgQFjAH&url=http%3A%2F%2Fyipit.com%2Fbusiness%2Fedible-excursions%2F&ei=a2xtT6OCHY3mggfqxulr&usg=AFQjCNFXFvKd2q4DeJ_Oq_Yd46zfChJk6A" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.53.11 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10" 1.455 1.454 .
63.131.50.135 - - [24/Mar/2012:06:41:11 +0000]  "GET /locations/ HTTP/1.1" 200 3135 "http://yipit.com/tags/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.79 Safari/535.11" 0.055 0.055 .
63.223.110.52 - - [24/Mar/2012:06:41:12 +0000]  "GET /san-jose/plum-district/friday-fundraiser-15-for-a-30-batting-card-at-batter-up-a-10-off-coupon-to-cypress-sporting-goods-plus-10-of-each-sale-goes-to-gators-baseba/frame/?subid1=web HTTP/1.1" 200 2734 "http://yipit.com/ajax/deal_json/34/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.3; .NET4.0E; .NET CLR 1.1.4322)" 0.023 0.023 .
207.86.141.10 - yipit [24/Mar/2012:06:41:12 +0000]  "GET /sentry/jsapi/?sort=date&level=40&logger=&op=poll HTTP/1.1" 200 2081 "http://admin.yipit.com/sentry/?sort=date&level=40&logger=" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:11.0) Gecko/20100101 Firefox/11.0" 0.119 0.119 .
76.94.232.169 - - [24/Mar/2012:06:41:12 +0000]  "GET /ajax/done_calculating/ HTTP/1.1" 200 55 "http://yipit.com/los-angeles/categories/restaurants/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.83 Safari/535.11" 0.028 0.028 .
63.223.110.52 - - [24/Mar/2012:06:41:12 +0000]  "GET /aff/click/?subid1=web&amp;key=F38tgRdb&amp;deal=SeBRMe2x HTTP/1.1" 302 0 "http://yipit.com/ajax/deal_json/34/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.3; .NET4.0E; .NET CLR 1.1.4322)" 0.208 0.208 .
108.72.72.174 - - [24/Mar/2012:06:41:12 +0000]  "GET /aff/click/?subid1=web&key=F38tgRdb&deal=LhsyT4ZL HTTP/1.1" 302 0 "http://m.yipit.com/dallas/yp/78-off-four-fat-lasering-weight-loss-sessions-from-lipolaser-of-dallas-a-1196-value/frame/?subid1=web" "Mozilla/5.0 (Linux; U; Android 3.2; en-us; SGH-T859 Build/HTJ85B) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13" 0.090 0.080 .
50.28.26.55 - - [24/Mar/2012:06:41:12 +0000]  "GET /v1/deals/?key=P5xxUChcwZuDvA7L&radius=50&lat=42.380846&lon=-113.612916 HTTP/1.1" 200 201 "-" "-" 0.405 0.405 .
50.57.147.166 - - [24/Mar/2012:06:41:12 +0000]  "HEAD /aff/click/?deal=QrLNZh9H&key=FaUfF9Pn HTTP/1.1" 302 0 "-" "-" 0.046 0.046 .
91.217.58.50 - - [24/Mar/2012:06:41:12 +0000]  "GET /ajax/done_calculating/ HTTP/1.1" 200 55 "http://yipit.com/nation/categories/home/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.83 Safari/535.11" 0.026 0.026 .
72.194.88.198 - yipit [24/Mar/2012:06:41:13 +0000]  "GET /v1/users/self/deals?key=PmHMUVPdgGc4EXL2&division=orange-county HTTP/1.1" 200 11854 "-" "Yipit/2.4 CFNetwork/548.1.4 Darwin/11.0.0" 2.586 2.586 .
50.28.26.55 - - [24/Mar/2012:06:41:13 +0000]  "GET /v1/deals/?key=P5xxUChcwZuDvA7L&radius=50&lat=39.654322&lon=-99.515488 HTTP/1.1" 200 200 "-" "-" 0.327 0.327 .
50.57.121.254 - - [24/Mar/2012:06:41:13 +0000]  "GET / HTTP/1.1" 200 4803 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" 0.028 0.028 .
63.223.110.52 - - [24/Mar/2012:06:41:14 +0000]  "GET /san-jose/deal-find/49-for-a-professional-carpet-cleaning-for-3-rooms-and-a-hallway-from-kleenteq-carpet-solutions-135-value/frame/?subid1=web HTTP/1.1" 200 2704 "http://yipit.com/ajax/deal_json/34/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.3; .NET4.0E; .NET CLR 1.1.4322)" 0.025 0.025 .
- - - [24/Mar/2012:06:41:14 +0000]  "-" 400 0 "-" "-" 0.000 - .
63.223.110.52 - - [24/Mar/2012:06:41:14 +0000]  "GET /aff/click/?subid1=web&amp;key=F38tgRdb&amp;deal=sfVumY8P HTTP/1.1" 302 0 "http://yipit.com/ajax/deal_json/34/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.3; .NET4.0E; .NET CLR 1.1.4322)" 0.080 0.080 .
69.171.229.250 - - [24/Mar/2012:06:41:14 +0000]  "GET /san-diego/kgb-deals/20-for-four-salsa-dancing-lessons-at-majesty-in-motion-40-value/ HTTP/1.1" 301 0 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0.050 0.050 .
72.194.88.198 - yipit [24/Mar/2012:06:41:14 +0000]  "GET /v1/users/self/deals?key=PmHMUVPdgGc4EXL2&division=orange-county&offset=50 HTTP/1.1" 200 179 "-" "Yipit/2.4 CFNetwork/548.1.4 Darwin/11.0.0" 0.053 0.053 .
63.223.110.52 - - [24/Mar/2012:06:41:14 +0000]  "GET /san-jose/all/?ajax=true&page=2&sort=-recent HTTP/1.1" 200 6286 "http://yipit.com/san-jose/all/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.3; .NET4.0E; .NET CLR 1.1.4322)" 0.047 0.047 .
50.57.121.254 - - [24/Mar/2012:06:41:15 +0000]  "GET /toronto/living-social/parent-child-urban-gardening-workshop-with-take-home-plant/?bp_ad=1 HTTP/1.1" 200 8744 "http://yipit.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" 1.223 1.223 .
76.94.232.169 - - [24/Mar/2012:06:41:15 +0000]  "GET /ajax/done_calculating/ HTTP/1.1" 200 55 "http://yipit.com/los-angeles/categories/restaurants/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.83 Safari/535.11" 0.025 0.025 .
